id,name,parent_id,color,label_tree_id,source_id
376172,2D,376194,69fe79,2564,
376173,3D,376194,54a0eb,2564,
376174,Acorn,376191,e70411,2564,
376175,"Acorn worms",376536,f5cf45,2564,
376176,Arborescent,376313,f66bb8,2564,
376177,Arborescent,376390,e9190e,2564,
376178,"Articulated calcareous",376368,52bef9,2564,
376179,ascidian_msp1,376478,6a4401,2564,
376180,ascidian_msp2,376478,ffd500,2564,
376181,ascidian_msp3,376478,f8ffc7,2564,
376182,ascidian_msp4,376478,6babef,2564,
376183,ascidian_msp5,376478,ff8e7a,2564,
376184,Ascidians,376199,d7ea4b,2564,
376185,Asteroidea,376286,f98133,2564,
376186,Attached,376480,21f68d,2564,
376187,"Bacterial mats",376199,69f0ba,2564,
376188,Balls,376372,1430ec,2564,
376189,banana_star_msp7,376185,fdf5a0,2564,
376190,"Barnacle plates",376198,f3c064,2564,
376191,Barnacles,376269,dbf249,2564,
376192,Barrels,376274,6b92ec,2564,
376193,"Basket stars",376395,ea35ed,2564,
376194,Bedforms,376417,db41f7,2564,
376195,beige_bivalve_msp1,376388,8d9d53,2564,
376196,Benthic,376344,e82001,2564,
376197,big_spotted_star_msp14,376185,f93434,2564,
376198,Biologenic,376412,4739f1,2564,
376199,Biota,,ae00ff,2564,
376200,Bioturbated,376194,eebb39,2564,
376201,Bioturbation,376199,f2582f,2564,
376202,Bivalves,376379,4ef583,2564,
376203,"Black & Octocorals",376256,e62b47,2564,
376204,"Blue coral (Heliopora)",376203,a258f4,2564,
376205,"Bony fishes",376310,fedc44,2564,
376206,Bottle-brush,376390,ed50dc,2564,
376207,Bottlebrush,376495,6af1df,2564,
376208,Boulders,376252,7a7a7a,2564,
376209,Brachiopods,376199,2925e9,2564,
376210,Branching,376298,ff4ddb,2564,
376211,Branching,376495,04d7fd,2564,
376212,Branching,376345,eb23bd,2564,
376213,Branching,376335,9748f6,2564,
376214,"Branching (3D)",376203,f746db,2564,
376215,branching_red_algae_msp1,376433,f748ca,2564,
376216,branching_red_algae_msp2,376433,8d0202,2564,
376217,"Brittle / snake stars",376395,62b9e6,2564,
376218,brittle_msp1,376217,62b9e6,2564,
376219,Brown,376322,95560f,2564,
376220,Brown,376354,95560f,2564,
376221,Brown,376355,95560f,2564,
376222,Brown,376295,9a5718,2564,
376223,Brown,376299,95560f,2564,
376224,Brown,376300,95560f,2564,
376225,Brown,376306,95560f,2564,
376226,brown_bivalve_msp3,376388,607be6,2564,
376227,brown_sheet_algae,376460,985b1a,2564,
376228,brown_star_msp9,376185,612700,2564,
376229,Bryozoa,376199,46e5ab,2564,
376230,"Burrow cluster",376285,3eec26,2564,
376231,Burrowers,376202,c262e6,2564,
376232,Bushy,376390,48f01a,2564,
376233,Calcareous,376436,f047d0,2564,
376234,carrot_star_msp4,376185,f98133,2564,
376235,Cephalopods,376379,4ef583,2564,
376236,Chimaeras,376289,ef1cc4,2564,
376237,Chitons,376379,63e9d9,2564,
376238,chunky_orange_star_msp16,376185,f98133,2564,
376239,chunky_star_msp11,376185,ffeb0f,2564,
376240,clam_msp2,376388,e66060,2564,
376241,Cnidaria,376199,e64866,2564,
376242,"Coarse sand (with shell fragments)",376454,8ee60c,2564,
376243,Cobbles,376252,bcb7c3,2564,
376244,"Coiled casts",376528,66fb60,2564,
376245,Colonial,376519,0658ef,2564,
376246,Colonial,376491,2b04e6,2564,
376247,"Colonial anemones",376241,6e6eec,2564,
376248,Columnar,376495,efe25f,2564,
376249,Complex,376206,e3e824,2564,
376250,Complex,376305,0733f5,2564,
376251,"Complex trail",376264,2258fd,2564,
376252,"Consolidated (hard)",376499,474847,2564,
376253,"Coquina / shellhash",376198,46f84c,2564,
376254,"Coral rubble",376198,43f570,2564,
376255,Corallimorphs,376247,23ee58,2564,
376256,Corals,376241,ef6ad6,2564,
376257,Corymbose,376495,f6222e,2564,
376258,"covered by algae",376517,8a8891,2564,
376259,"covered by shells",376517,6bff66,2564,
376260,"covered by shells/algae",376517,8a8891,2564,
376261,Crabs,376269,edf672,2564,
376262,"Crater cone",376285,3cfa32,2564,
376263,"Crater row",376264,ba31fa,2564,
376264,Crawling_traces,376201,f2297c,2564,
376265,"Creeping / ramose",376268,e6bb67,2564,
376266,crino_msp1,376520,0f8bf5,2564,
376267,Crinoids,376286,a0f810,2564,
376268,Crust-like,376485,5178e9,2564,
376269,Crustacea,376199,0d7bec,2564,
376270,Cryptic,376372,ea15dc,2564,
376271,Ctenophores,376351,c406e6,2564,
376272,Cubozoa,376351,5bf8a6,2564,
376273,"Cup / goblet",376275,4565e6,2564,
376274,Cup-like,376485,f4646b,2564,
376275,Cups,376274,309bf2,2564,
376276,"Curly casts",376528,c7e95d,2564,
376277,Cuttlefish,376235,50f0be,2564,
376278,Cyanobacteria,376187,ea1fec,2564,
376279,Dendroid,376477,d12deb,2564,
376280,desmarestia_msp1,376224,95560f,2564,
376281,desmarestia_msp2,376223,92950f,2564,
376282,Digitate,376495,42e6c2,2564,
376283,"Disturbed trace",376264,6bfe74,2564,
376284,Doris_kerguelenensis,376392,5edece,2564,
376285,"Dwelling traces",376201,e77916,2564,
376286,Echinoderms,376199,f937fb,2564,
376287,Echiura,376536,41d5e7,2564,
376288,Eels,376310,63eadd,2564,
376289,Elasmobranchs,376310,a77bf8,2564,
376290,"Elliptical leaves",376458,c37cfd,2564,
376291,"Elongate depression",376285,2bd9f0,2564,
376292,Encrusting,376268,26d0ff,2564,
376293,Encrusting,376203,da04e7,2564,
376294,Encrusting,376495,72ecbd,2564,
376295,Encrusting,376368,78fdcd,2564,
376296,Encrusting,376335,935af2,2564,
376297,"Endolithic / bioeroding",376268,5afa92,2564,
376298,Erect,376485,3956e6,2564,
376299,Erect_coarse_branching,376368,2bb4f8,2564,
376300,Erect_fine_branching,376368,1d38e6,2564,
376301,"Fan (2D)",376203,f3ab36,2564,
376302,"Feeding traces",376201,c30df2,2564,
376303,Fenestrate,376335,ef9448,2564,
376304,Fern,376518,eb24fa,2564,
376305,Fern-frond,376301,45e1fd,2564,
376306,"Filamentous / filiform",376368,e93ee4,2564,
376307,"Fine sand (no shell fragments)",376454,e94c84,2564,
376308,fine_orange_msp4,376464,5ce6cf,2564,
376309,finger_sponge_msp1,376210,ec9418,2564,
376310,Fishes,376199,50f6ec,2564,
376311,Flat,376442,0635ec,2564,
376312,Flatworms,376536,b8ec4c,2564,
376313,Fleshy,376214,e9f41e,2564,
376314,Flytrap,376509,f26a85,2564,
376315,Foliaceous,376477,e7c71d,2564,
376316,"Foliose / plate",376495,3f54f6,2564,
376317,Fourlobed,376509,15e6aa,2564,
376318,"Fractured mound",376285,01a9e5,2564,
376319,Free-living,376480,c3f151,2564,
376320,Gastropoda,376379,63e9d9,2564,
376321,glitter_star_msp3,376185,ffffff,2564,
376322,"Globose / saccate",376368,35c4fe,2564,
376323,"Globule xenophyophore",376400,f22021,2564,
376324,glyptonotus_antarcticus,376350,ed0c0c,2564,
376325,"Gravel (2-10mm)",376412,f46281,2564,
376326,Green,376178,53f95e,2564,
376327,Green,376354,25ee43,2564,
376328,Green,376299,39c615,2564,
376329,Green,376300,39c615,2564,
376330,Green,376306,39c615,2564,
376331,Green,376322,3bc823,2564,
376332,Green,376460,3bc823,2564,
376333,green_encr_algae,376295,5ef878,2564,
376334,green_sheet_algae_msp1,376332,3bc823,2564,
376335,Hard,376229,31e5fb,2564,
376336,"Hermit crabs",376269,f28442,2564,
376337,High,376442,24f497,2564,
376338,"High (>3m)",376337,0575f8,2564,
376339,himantothallus_msp1,376221,95560f,2564,
376340,holoth_msp1,376196,5900ff,2564,
376341,holoth_msp2,376196,ffffff,2564,
376342,holoth_msp3,376196,e82001,2564,
376343,holoth_msp4,376196,e9c301,2564,
376344,Holothurians,376286,ec9a26,2564,
376345,Hydrocorals,376241,d95ef8,2564,
