id	name	parent_id	parentName	catamiPath	isLeaf	header	vernacularName	scientificName	taxonRank	verbatimIdentification	identificationQualifier	confidence	mappingBasis	color	label_tree_id	source_id
376246	Colonial	376491	Stalked	Biota > Ascidians > Stalked > Colonial	True					Colonial		unmapped / descriptive	CATAMI label only	2b04e6	2564	
376479	Solitary	376491	Stalked	Biota > Ascidians > Stalked > Solitary	True					Solitary		unmapped / descriptive	CATAMI label only	84f762	2564	
376245	Colonial	376519	Unstalked	Biota > Ascidians > Unstalked > Colonial	True					Colonial		unmapped / descriptive	CATAMI label only	0658ef	2564	
376179	ascidian_msp1	376478	Solitary	Biota > Ascidians > Unstalked > Solitary > ascidian_msp1	True	ascidian_msp1	ascidian	Ascidiacea	class	ascidian morphotype 1		high	header only	6a4401	2564	
376180	ascidian_msp2	376478	Solitary	Biota > Ascidians > Unstalked > Solitary > ascidian_msp2	True	ascidian_msp2	ascidian	Ascidiacea	class	ascidian morphotype 2		high	header only	ffd500	2564	
376181	ascidian_msp3	376478	Solitary	Biota > Ascidians > Unstalked > Solitary > ascidian_msp3	True	ascidian_msp3	ascidian	Ascidiacea	class	ascidian morphotype 3		high	header only	f8ffc7	2564	
376182	ascidian_msp4	376478	Solitary	Biota > Ascidians > Unstalked > Solitary > ascidian_msp4	True					ascidian_msp4		unmapped / descriptive	CATAMI label only	6babef	2564	
376183	ascidian_msp5	376478	Solitary	Biota > Ascidians > Unstalked > Solitary > ascidian_msp5	True					ascidian_msp5		unmapped / descriptive	CATAMI label only	ff8e7a	2564	
376278	Cyanobacteria	376187	Bacterial mats	Biota > Bacterial mats > Cyanobacteria	True					Cyanobacteria		unmapped / descriptive	CATAMI label only	ea1fec	2564	
376402	Other	376187	Bacterial mats	Biota > Bacterial mats > Other	True					Other		unmapped / descriptive	CATAMI label only	9028e7	2564	
376251	Complex trail	376264	Crawling_traces	Biota > Bioturbation > Crawling_traces > Complex trail	True					Complex trail		unmapped / descriptive	CATAMI label only	2258fd	2564	
376263	Crater row	376264	Crawling_traces	Biota > Bioturbation > Crawling_traces > Crater row	True					Crater row		unmapped / descriptive	CATAMI label only	ba31fa	2564	
376283	Disturbed trace	376264	Crawling_traces	Biota > Bioturbation > Crawling_traces > Disturbed trace	True					Disturbed trace		unmapped / descriptive	CATAMI label only	6bfe74	2564	
376381	Mounded trail	376264	Crawling_traces	Biota > Bioturbation > Crawling_traces > Mounded trail	True					Mounded trail		unmapped / descriptive	CATAMI label only	b9e839	2564	
376415	Perforated trail	376264	Crawling_traces	Biota > Bioturbation > Crawling_traces > Perforated trail	True					Perforated trail		unmapped / descriptive	CATAMI label only	57eb80	2564	
376505	Thick trail	376264	Crawling_traces	Biota > Bioturbation > Crawling_traces > Thick trail	True					Thick trail		unmapped / descriptive	CATAMI label only	3be880	2564	
376506	Thin trail	376264	Crawling_traces	Biota > Bioturbation > Crawling_traces > Thin trail	True					Thin trail		unmapped / descriptive	CATAMI label only	2dd7ec	2564	
376230	Burrow cluster	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Burrow cluster	True					Burrow cluster		unmapped / descriptive	CATAMI label only	3eec26	2564	
376262	Crater cone	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Crater cone	True					Crater cone		unmapped / descriptive	CATAMI label only	3cfa32	2564	
376291	Elongate depression	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Elongate depression	True					Elongate depression		unmapped / descriptive	CATAMI label only	2bd9f0	2564	
376318	Fractured mound	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Fractured mound	True					Fractured mound		unmapped / descriptive	CATAMI label only	01a9e5	2564	
376357	Large mound	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Large mound	True					Large mound		unmapped / descriptive	CATAMI label only	9ef15d	2564	
376393	Oblique burrow	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Oblique burrow	True					Oblique burrow		unmapped / descriptive	CATAMI label only	fa4e05	2564	
376407	Paired burrow	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Paired burrow	True					Paired burrow		unmapped / descriptive	CATAMI label only	c5ee6c	2564	
376452	Rounded crater ring	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Rounded crater ring	True					Rounded crater ring		unmapped / descriptive	CATAMI label only	6d7ded	2564	
376465	Single burrow	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Single burrow	True					Single burrow		unmapped / descriptive	CATAMI label only	d6e763	2564	
376472	Small mound	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Small mound	True					Small mound		unmapped / descriptive	CATAMI label only	c8f85d	2564	
376482	Spiked crater ring	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Spiked crater ring	True					Spiked crater ring		unmapped / descriptive	CATAMI label only	d45bf4	2564	
376486	Spotted mound	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Spotted mound	True					Spotted mound		unmapped / descriptive	CATAMI label only	7196e8	2564	
376508	Trapdoor burrow	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Trapdoor burrow	True					Trapdoor burrow		unmapped / descriptive	CATAMI label only	ceef0b	2564	
376525	Vertical burrow	376285	Dwelling traces	Biota > Bioturbation > Dwelling traces > Vertical burrow	True					Vertical burrow		unmapped / descriptive	CATAMI label only	ea0f23	2564	
376358	Large rosette	376302	Feeding traces	Biota > Bioturbation > Feeding traces > Large rosette	True					Large rosette		unmapped / descriptive	CATAMI label only	41f7e5	2564	
376416	Petal rosette	376302	Feeding traces	Biota > Bioturbation > Feeding traces > Petal rosette	True					Petal rosette		unmapped / descriptive	CATAMI label only	9bfc7b	2564	
376418	Pincushion rosette	376302	Feeding traces	Biota > Bioturbation > Feeding traces > Pincushion rosette	True					Pincushion rosette		unmapped / descriptive	CATAMI label only	5749e6	2564	
376427	Rayed mound	376302	Feeding traces	Biota > Bioturbation > Feeding traces > Rayed mound	True					Rayed mound		unmapped / descriptive	CATAMI label only	5efb97	2564	
376473	Small rosette	376302	Feeding traces	Biota > Bioturbation > Feeding traces > Small rosette	True					Small rosette		unmapped / descriptive	CATAMI label only	4b5deb	2564	
376323	Globule xenophyophore	376400	Organism tests	Biota > Bioturbation > Organism tests > Globule xenophyophore	True					Globule xenophyophore		unmapped / descriptive	CATAMI label only	f22021	2564	
376367	Lumpy xenophyophore	376400	Organism tests	Biota > Bioturbation > Organism tests > Lumpy xenophyophore	True					Lumpy xenophyophore		unmapped / descriptive	CATAMI label only	4e14e7	2564	
376521	Urchin test	376400	Organism tests	Biota > Bioturbation > Organism tests > Urchin test	True					Urchin test		unmapped / descriptive	CATAMI label only	f61ee7	2564	
376356	Large depression	376443	Resting traces	Biota > Bioturbation > Resting traces > Large depression	True					Large depression		unmapped / descriptive	CATAMI label only	e535f7	2564	
376494	Star_impression	376443	Resting traces	Biota > Bioturbation > Resting traces > Star_impression	True					Star_impression		unmapped / descriptive	CATAMI label only	4067eb	2564	
376522	Urchin trace	376443	Resting traces	Biota > Bioturbation > Resting traces > Urchin trace	True					Urchin trace		unmapped / descriptive	CATAMI label only	3e28f3	2564	
376304	Fern	376518	Unknown origin	Biota > Bioturbation > Unknown origin > Fern	True					Fern		unmapped / descriptive	CATAMI label only	eb24fa	2564	
376374	Matchstick	376518	Unknown origin	Biota > Bioturbation > Unknown origin > Matchstick	True					Matchstick		unmapped / descriptive	CATAMI label only	9b57f6	2564	
376376	Mesh	376518	Unknown origin	Biota > Bioturbation > Unknown origin > Mesh	True					Mesh		unmapped / descriptive	CATAMI label only	3df37d	2564	
376406	Ovoid pinnate	376518	Unknown origin	Biota > Bioturbation > Unknown origin > Ovoid pinnate	True					Ovoid pinnate		unmapped / descriptive	CATAMI label only	840eec	2564	
376421	Pogostick	376518	Unknown origin	Biota > Bioturbation > Unknown origin > Pogostick	True					Pogostick		unmapped / descriptive	CATAMI label only	c672fa	2564	
376451	Round pinnate	376518	Unknown origin	Biota > Bioturbation > Unknown origin > Round pinnate	True					Round pinnate		unmapped / descriptive	CATAMI label only	ed3c54	2564	
376481	Spider	376518	Unknown origin	Biota > Bioturbation > Unknown origin > Spider	True					Spider		unmapped / descriptive	CATAMI label only	68dde8	2564	
376244	Coiled casts	376528	Waste casts	Biota > Bioturbation > Waste casts > Coiled casts	True					Coiled casts		unmapped / descriptive	CATAMI label only	66fb60	2564	
376276	Curly casts	376528	Waste casts	Biota > Bioturbation > Waste casts > Curly casts	True					Curly casts		unmapped / descriptive	CATAMI label only	c7e95d	2564	
376380	Mounded casts	376528	Waste casts	Biota > Bioturbation > Waste casts > Mounded casts	True					Mounded casts		unmapped / descriptive	CATAMI label only	a6e763	2564	
376387	Nest casts	376528	Waste casts	Biota > Bioturbation > Waste casts > Nest casts	True					Nest casts		unmapped / descriptive	CATAMI label only	5ef742	2564	
376450	Round casts	376528	Waste casts	Biota > Bioturbation > Waste casts > Round casts	True					Round casts		unmapped / descriptive	CATAMI label only	41d1f8	2564	
376484	Spirals	376528	Waste casts	Biota > Bioturbation > Waste casts > Spirals	True					Spirals		unmapped / descriptive	CATAMI label only	f3ce56	2564	
376501	Switchbacks	376528	Waste casts	Biota > Bioturbation > Waste casts > Switchbacks	True					Switchbacks		unmapped / descriptive	CATAMI label only	5dcefe	2564	
