old_file_name	new_file_name	ascidian_msp1	ascidian_msp2	ascidian_msp3	Asteroidea	beige_bivalve_msp1	branching_red_algae_msp1	branching_red_algae_msp2	brown_bivalve_msp3	carrot_star_msp4	clam_msp2	desmarestia_msp1	desmarestia_msp2	Echiura	fine_orange_msp4	finger_sponge_msp1	glitter_star_msp3	green_encr_algae	himantothallus_msp1	laternula	light_brown_star_msp15	limpet_msp1	limpet_msp2	Macroalgae	medium_yellow_star_msp13	orange_blob_msp5	parborlasia_aggr	parborlasia_corrugatus	pink_encr_algae	pink_star_msp1	red_or_brown_sheet_algae	red_sheet_msp1	skinny_yellow_star_msp10	spiky_ball_sponge_msp6	urchin_msp1	VME_unknown	Worms	yellow_anemone_msp2	yellow_blob_msp2
TANGO1_ROV13_q1_whole.tif1	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif10	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	1.01152233985231	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	15.4595479977615	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif11	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif12	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	7	0	2.23931804881079	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif13	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05788227086167	25	0	0	0	0	0	0	0	1	0	3	0	8.22888903405833	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif14	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	10.2752217110834	0	0	0	0	0	0	20.7819489104049	7	0	0	0	0	1	0	0	0	1.10767995241844	12	0	7.84186727583736	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif15	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	12.9544338850288	0	0	0	0	0	0	14.7240666395432	8	0	0	0	0	0	0	0	0	0.943107722893644	10	0	0.209631010539308	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif16	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0.19800721713208	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif17	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0.19800721713208	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif18	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	4.66946875375967	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif19	TANGO1_ROV13_q1_whole.tif	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.71587150040361	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif2	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.42743272312992	1	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif20	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	7.72692123475256	0	0	0	0	0	6.05788227086167	6	0	0	0	0	0	0	0	0	0	12	0	0.985601998190964	0	0	4	0	0	0	0
TANGO1_ROV13_q1_whole.tif21	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	3.55504699767955	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	2	0	0.892773030957499	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif22	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif23	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0.912598655878469	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif24	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif25	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0.477112179532321	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	7	0	2.22408720439893	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif26	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	9.49216611557218	3.90401399739212	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	4	0	1.38005204948433	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif27	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	4.12371689957019	3.90401399739212	0	0	0	0	0	0	68	0	0	0	0	0	0	1	1	1.70307062700587	19	0	2.20961190535557	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif28	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0.477112179532321	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	3	0	1.33131417344143	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif29	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif3	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	1	0	0	0	0	0	2.7070567412194	8	0	0.225044567015199	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif30	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif31	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif32	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0.61117415434156	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0.120016535814804	8	0	2.38900946075107	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif33	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif34	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif35	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif36	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif37	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05788227086167	5	0	0	0	0	0	0	0	0	0	9	0	0.486969035782303	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif38	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif4	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	4	0	4.64667107255437	0	0	1	0	0	0	0
TANGO1_ROV13_q1_whole.tif5	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	3.94825829299502	8	0	2.5647549691717	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif6	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	1	0	0	0	0	0	1	0	8	0	0.853790860955377	0	0	0	0	0	0	0.644084201192448
TANGO1_ROV13_q1_whole.tif7	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	22.3730567757909	0	0	0	0	0	0	4.08852247848501	32	0	0	0	0	0	0	0	0	0.0895220344749106	8	0	9.5537761463213	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif8	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	14.3650981150886	2.05959946717388	0	0	0	0	0	7.62597501673588	1	0	0	0	0	0	0	0	0	4.95784711071574	2	0	8.33311729933548	0	0	0	0	0	0	0
TANGO1_ROV13_q1_whole.tif9	TANGO1_ROV13_q1_whole.tif	0	0	0	0	0	0	0	0	0	0	2.29070824184646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	15.4595479977615	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif1	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0.32308483458016	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif10	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.3448679243361	5	0	0	0	0	0	0	0	0	0	0	0	5.32433495560309	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif11	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.3448679243361	0	0	0	0	0	0	0	0	0	0	0	0	11.580338905338	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif12	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.3448679243361	0	0	0	0	0	0	0	0	0	0	0	0	9.16465374083615	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif13	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.3448679243361	2	0	0	0	0	0	0	0	0	8.202734790521	0	0	6.62041712370196	0	0	0	0	0	2	0
TANGO1_ROV13_q2_ortho_whole.tif14	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0.599797020512092	0	0	0	21.0688587322361	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif15	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	21.0688587322361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif16	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	21.7665911715734	0	0	0	0	0	0	50.3448679243361	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif17	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0.697732439337364	0	0	0	0	0	0	62.505917451522	1	0	0	0	0	0	0	0	0	0.735531236214134	3	0	20.6683445617316	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif18	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0.675546222577441	0	0	0	0	0	0	0	0	0	0	63.3095127215482	0	0	0	0	0	0	0	0	0	0	0	0	39.1141989412132	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif19	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	20.6763572431097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif2	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0.564317407016552	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif20	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	20.6763572431097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif21	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	21.0688587322361	0	0	0	0	0	0	50.3448679243361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif22	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	3.15436307744611	0	0	0	0	0	0	0	0	0	0	0	62.505917451522	4	0	0	0	0	0	0	0	0	0	1	0	4.13166124228256	0	0	0	1	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif23	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0.675546222577441	0	0	0	0	0	0	0	0	0	0	25.1256943243981	0	0	0	0	0	0	0	0	0	0	1	0	24.8000058040142	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif24	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.9646447972121	0	0	0	0	0	0	0	0	0	0	0	0	78.1419403701489	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif25	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	59.6960859906674	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif26	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.7475912848598	0	0	1	0	0	0	0	0	0	14.0777797054992	0	0	4.13166124228256	0	0	0	2	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif27	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5865417576738	3	0	0	0	0	0	0	0	0	14.0777797054992	0	0	0	0	0	0	1	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif28	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5808900113235	0	0	2	0	0	0	0	0	0	35.8736995879383	0	0	15.4167247621795	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif29	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5865417576738	0	0	1	0	0	0	0	0	0	14.0777797054992	1	0	15.4167247621795	0	0	0	0	0	0	0
TANGO1_ROV13_q2_ortho_whole.tif3	TANGO1_ROV13_q2_ortho_whole.tif	0	0	0	0	0	0	0.241232572436392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
