,anemone,banana_star_msp7,beige_bivalve_msp1,big_spotted_star_msp14,bivalve,blue_holoth_msp1,branching_red_algae_msp1,branching_red_algae_msp2,brittle_msp1,brown_star_msp9,Bryozoa,carrot_star_msp4,chunky_orange_star_msp16,chunky_star_msp11,desmarestia_msp1,desmarestia_msp2,echiura_msp1,edwardsiella_msp4,encrusting_algae,encrusting_sponge,erect_sponge,filamentous_filiform_algae,filamentous_green_algae,fine_orange_msp4,finger_sponge_msp1,fish,glitter_star_msp3,glypt_ant,green_encr_algae,green_sheet_algae_msp1,himantothallus_msp1,laminate_brown,large_yellow_msp3,laternula,light_brown_star_msp15,macroalgae,medium_yellow_star_msp13,mollusc,nacella,nudibranch,orange_anemone_msp1,orange_blob_msp5,orange_holoth_msp4,pale_yellow_ascidian_msp5,parborlasia_corrugatus,pink_encr_algae_msp1,pink_star_msp1,pycnogonid_msp1,red_brown_ascidian_msp4,red_or_brown_sheet_algae_msp0,red_sheet_msp1,skinny_white_star_msp12,skinny_yellow_star_msp10,small_pink_worm_msp1,small_white_worm_msp2,small_yellow_star_msp6,spiky_massive_msp9,spiky_yellow_msp7,sponges,starfish,sun_star_msp2,terebellidae,translucent_blob,urchin_msp1,wavy_msp3,white_amphipod_msp1,white_anemone_msp3,white_ascidian_msp3,white_bunny_msp1,white_holoth_msp2,white_massive_msp10,white_porcupine_msp2,white_snail,white_star_msp8,worm,yellow_anemone_msp2,yellow_ascidian_msp2,yellow_blob_msp2,yellow_brown_ascidian_msp1,yellow_finger_msp8,yellow_star_msp5
TANGO2_ROV10_1_036.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.78139841,2.956309733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.051084059,0,0,0,0,16.47517487,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV10_2_004.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.568757497,0,0,0,0,0,0,0,0.081455866,0,0,0,0,0,0,81.08509285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849568703,0,0,0,0,2.546479585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV10_2_024.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.235913802,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
TANGO2_ROV10_2_033.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8434863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830390087,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGO2_ROV10_2_059.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TANGO2_ROV10_2_068.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.831445231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173629876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TANGO2_ROV10_3_004.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.575629632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43111645,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
TANGO2_ROV10_3_021.png,0,0,0,0,0,0,6.000106592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64759922,0,0,0,0,0,0,0,0,0,0,0.328335328,0,0,0,0.64874875,0,0,0,0,3.597796983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TANGO2_ROV10_3_032.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.091880562,0,0,0,0,1.65342997,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TANGO2_ROV10_3_042.png,0,0,0,0,0,0,1.561013719,1.470544559,0,0,0,0,0,0,0,17.91715227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202405683,0,0,0,2.873804689,1,0,0,0,5.824189823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118690653,0,0,0
