eventID	sourceFileName	file_path	relative_path	campaign	parentEventID	rovID	verbatimLocality	dynamicProperties	dc:type	dcterms:type	subtype	subtypeLiteral	title	fundingAttribution	licenseLogoURL	metadataLanguage	metadataLanguageLiteral	provider	providerLiteral	dc:format	dcterms:format	deposition_id	doi	dcterms:identifier	accessURI
TANGO1_ROV13_q1	TANGO1_ROV13_q1_whole.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV13_q1_whole.tif	TANGO1/orthomosaics/TANGO1_ROV13_q1_whole.tif	TANGO1	TANGO1_ROV13	ROV13	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV13"",""transect"":""q1"",""TANGO_sample_ID"":""1391"",""station"":""DI"",""number"":""5"",""new_name"":null,""name_in_paper"":""DI5"",""site"":null,""deployed_from"":""Zodiac"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV13, (TANGO1_ROV13_q1_whole.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011	21918817	10.5281/zenodo.21918817	https://doi.org/10.5281/zenodo.21918817	https://zenodo.org/api/records/21918817/files/TANGO1_ROV13_q1_whole.tif/content
TANGO1_ROV13_q2	TANGO1_ROV13_q2_ortho_whole.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV13_q2_ortho_whole.tif	TANGO1/orthomosaics/TANGO1_ROV13_q2_ortho_whole.tif	TANGO1	TANGO1_ROV13	ROV13	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV13"",""transect"":""q2"",""TANGO_sample_ID"":""1392"",""station"":""DI"",""number"":""5"",""new_name"":null,""name_in_paper"":""DI5"",""site"":null,""deployed_from"":""Zodiac"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV13, (TANGO1_ROV13_q2_ortho_whole.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011	21918851	10.5281/zenodo.21918851	https://doi.org/10.5281/zenodo.21918851	https://zenodo.org/api/records/21918851/files/TANGO1_ROV13_q2_ortho_whole.tif/content
TANGO1_ROV13_q3	TANGO1_ROV13_q3_whole.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV13_q3_whole.tif	TANGO1/orthomosaics/TANGO1_ROV13_q3_whole.tif	TANGO1	TANGO1_ROV13	ROV13	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV13"",""transect"":""q3"",""TANGO_sample_ID"":""1393"",""station"":""DI"",""number"":""5"",""new_name"":null,""name_in_paper"":""DI5"",""site"":null,""deployed_from"":""Zodiac"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV13, (TANGO1_ROV13_q3_whole.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011	21918871	10.5281/zenodo.21918871	https://doi.org/10.5281/zenodo.21918871	https://zenodo.org/api/records/21918871/files/TANGO1_ROV13_q3_whole.tif/content
TANGO1_ROV4_q1	TANGO1_ROV4_q1_ortho_better.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV4_q1_ortho_better.tif	TANGO1/orthomosaics/TANGO1_ROV4_q1_ortho_better.tif	TANGO1	TANGO1_ROV4	ROV4	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV4"",""transect"":""q1"",""TANGO_sample_ID"":""91"",""station"":""DI"",""number"":""4"",""new_name"":null,""name_in_paper"":""DI4"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV4, (TANGO1_ROV4_q1_ortho_better.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011	21918915	10.5281/zenodo.21918915	https://doi.org/10.5281/zenodo.21918915	https://zenodo.org/api/records/21918915/files/TANGO1_ROV4_q1_ortho_better.tif/content
TANGO1_ROV4_q3	TANGO1_ROV4_q3_ortho_whole_blended.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV4_q3_ortho_whole_blended.tif	TANGO1/orthomosaics/TANGO1_ROV4_q3_ortho_whole_blended.tif	TANGO1	TANGO1_ROV4	ROV4	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV4"",""transect"":""q3"",""TANGO_sample_ID"":""93"",""station"":""DI"",""number"":""4"",""new_name"":null,""name_in_paper"":""DI4"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV4, (TANGO1_ROV4_q3_ortho_whole_blended.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011	21918953	10.5281/zenodo.21918953	https://doi.org/10.5281/zenodo.21918953	https://zenodo.org/api/records/21918953/files/TANGO1_ROV4_q3_ortho_whole_blended.tif/content
TANGO1_ROV6_q1	TANGO1_ROV6_q1_ortho_whole.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV6_q1_ortho_whole.tif	TANGO1/orthomosaics/TANGO1_ROV6_q1_ortho_whole.tif	TANGO1	TANGO1_ROV6	ROV6	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV6"",""transect"":""q1"",""TANGO_sample_ID"":""261"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV6, (TANGO1_ROV6_q1_ortho_whole.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011	21919016	10.5281/zenodo.21919016	https://doi.org/10.5281/zenodo.21919016	https://zenodo.org/api/records/21919016/files/TANGO1_ROV6_q1_ortho_whole.tif/content
TANGO1_ROV7_t1	TANGO1_ROV7_6_018.png	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_018.png	TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_018.png	TANGO1	TANGO1_ROV7	ROV7	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV7"",""transect"":""t1"",""TANGO_sample_ID"":""464"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV7, (TANGO1_ROV7_6_018.png)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	PNG	http://rs.tdwg.org/format/values/m007	21919092	10.5281/zenodo.21919092	https://doi.org/10.5281/zenodo.21919092	https://zenodo.org/api/records/21919092/files/TANGO1_ROV7_6_018.png/content
TANGO1_ROV7_t1	TANGO1_ROV7_6_019.png	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_019.png	TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_019.png	TANGO1	TANGO1_ROV7	ROV7	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV7"",""transect"":""t1"",""TANGO_sample_ID"":""464"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV7, (TANGO1_ROV7_6_019.png)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	PNG	http://rs.tdwg.org/format/values/m007	21919096	10.5281/zenodo.21919096	https://doi.org/10.5281/zenodo.21919096	https://zenodo.org/api/records/21919096/files/TANGO1_ROV7_6_019.png/content
TANGO1_ROV7_t1	TANGO1_ROV7_6_020.png	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_020.png	TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_020.png	TANGO1	TANGO1_ROV7	ROV7	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV7"",""transect"":""t1"",""TANGO_sample_ID"":""464"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV7, (TANGO1_ROV7_6_020.png)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	PNG	http://rs.tdwg.org/format/values/m007	21919098	10.5281/zenodo.21919098	https://doi.org/10.5281/zenodo.21919098	https://zenodo.org/api/records/21919098/files/TANGO1_ROV7_6_020.png/content
TANGO1_ROV7_t1	TANGO1_ROV7_6_021.png	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_021.png	TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_021.png	TANGO1	TANGO1_ROV7	ROV7	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV7"",""transect"":""t1"",""TANGO_sample_ID"":""464"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV7, (TANGO1_ROV7_6_021.png)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	PNG	http://rs.tdwg.org/format/values/m007	21919100	10.5281/zenodo.21919100	https://doi.org/10.5281/zenodo.21919100	https://zenodo.org/api/records/21919100/files/TANGO1_ROV7_6_021.png/content
