eventID	parentEventID	eventType	dynamicProperties	eventDate	eventTime	verbatimEventDate	samplingProtocol	samplingEffort	eventRemarks	higherGeographyID	locality	verbatimLocality	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT	georeferenceRemarks
TANGO1_ROV1	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-19			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV10	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-25			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV11	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-25			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV12	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-26			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV13	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-27			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV14	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-28			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV15	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-03-02			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q4923907	Blaiklock Island	Blaiklock Island					
TANGO1_ROV16	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-03-03			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q4923907	Blaiklock Island	Blaiklock Island					
TANGO1_ROV17	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-03-03			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q4923907	Blaiklock Island	Blaiklock Island					
TANGO1_ROV18	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-03-03			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q4923907	Blaiklock Island	Blaiklock Island					
TANGO1_ROV19	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-03-04			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q4923907	Blaiklock Island	Blaiklock Island					
TANGO1_ROV2	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-19			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV20	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-03-05			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q4923907	Blaiklock Island	Blaiklock Island					
TANGO1_ROV21	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-03-05			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q4923907	Blaiklock Island	Blaiklock Island					
TANGO1_ROV22	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-03-06			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q4923907	Blaiklock Island	Blaiklock Island					
TANGO1_ROV23	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-03-07			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q4923907	Blaiklock Island	Blaiklock Island					
TANGO1_ROV3	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-19			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV4	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-19			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV5	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-22			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV6	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-22			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV7	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-23			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV8	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-24			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO1_ROV9	https://www.wikidata.org/entity/Q119843670	ROV deployment		2023-02-24			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q5287955	Dodman Island	Dodman Island					
TANGO2_DIV31	https://www.wikidata.org/entity/Q137398578	ROV deployment		2024-02-24			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q60678	Foyn Harbor	Foyn Harbor					
TANGO2_DIV6	https://www.wikidata.org/entity/Q137398578	ROV deployment		2024-02-13			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q925409	Omega Island	Melchior Islands North Omega					
TANGO2_ROV1	https://www.wikidata.org/entity/Q137398578	ROV deployment		2024-02-11			ROV deployment supporting image-based benthic survey.			https://www.wikidata.org/entity/Q925409	Omega Island	Melchior Islands North Omega					
