eventID	campaign	station	transect	number	site	eventDurationValue	samplingEffortValue	verbatimSiteNames	eventDurationUnit	samplingEffortUnit	targetHabitatScope	verbatimTargetScope	protocolNames	protocolDescriptions	protocolReferences
TANGO2_ROV1_t1	TANGO2	MI_ON	t1	1		4	24		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV1_t2	TANGO2	MI_ON	t2	2			0		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV2_t1	TANGO2	MI_ON	t1	1	west	11	66		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV3_t1	TANGO2	MI_ON	t1	2	west	14	84		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV3_t2	TANGO2	MI_ON	t2	3	west		0		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_DIV6_t1	TANGO2	MI_ON	t1		east		0		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV4_t1	TANGO2	MI_ON	t1	1	east	17	102	MIN	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV5_t1	TANGO2	MI_ON	t1	2	east	15	90		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV5_t2	TANGO2	MI_ON	t2	3	east	13	78		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV6_t1	TANGO2	MI_OS	t1	1	inner	4	24	MIS-i-1	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
